Kundnummer;Namn;Gatuadress;Postnummer;Ort
89;Mikael Strindberg;Dalmasvägen 5;36589;Ludvika
90;Michael Strandberg;Skoglundsgatan 4;16378;Nacka
91;Mikael Hansson;Ögatan 4;17788;Lidingö
92;Michael Hedberg;Skärgårdsvägen 3;15478;Värmdö
93;Larry King;Bempavägen 3;37589;Falun
94;Ruben Blades;Björkgatan 435;22255;Umeå
95;Jonas Kling;Scaniavägen 6;16478;Södertälje
96;Jonna Jansson;Kärnkraftsgatan 5;88888;Oskarshamn
97;Laura Ingalls;Solgatan 650;66666;Karlstad
98;Tuva Kjellberg;Julbocksvägen 4;26478;Gävle
99;Katinka Roos;Åvägen 10;37788;Örebro
100;Django Reinhardt;Jazzgatan 3;15467;Stockholm
